Gene;Alteration;Type;Name;Clinical trial phase;"Reference retained 
(first author, journal, date)";Trial identifier ( clinicaltrials.gov number or pubmed identifier);Agents;mPFS;Alteration_prevalence;Normal_tissue;Normal_Tissue_RNA_Expression(TPM);Functionnal impact
ALK;Translocation;IMT;"ALK
IMT";2;Fischer, Lancet Oncol 2021;NCT01742286;"Crizotinib
Crizotinib
Ceritinib";25.0;50%;Fibroblast;0.01;No
ALK;Translocation;LUAD;"ALK
LUAD";3;Solomon J Clin Oncol 2024;NCT03052608;Lorlatinib;68.0;3%;Lung;0.07;No
FGFR1-2-3;Translocation;Misc.;"FGFR 1-2-3-4
Miscel.";2;Pant, Lancet Oncol 2023;NCT04083976;Erdafitinib;4.2;1%;Misc.;33.49;Unclear
FGFR2;Translocation;CHOL;"FGFR2
CHOL";2;Abou-Alfa, Lancet Oncol 2020;NCT02924376;Pemigratinib;6.0;16%;Liver;7.48;Probable
FGFR3;Translocation;BLCA;"FGFR3
BLCA";2;Loriot, N Engl J Med, 2019;NCT02365597;Erdafitinib;5.6;5%;Bladder;4.27;No
NTRK1-2-3;Translocation;Misc.;"NTRK1-2-3
Misc.";2;Drilon , N Engl J Med 2018;NCT02122913,ÿNCT02637687, andÿNCT02576431;Larotrectinib;18.0;1%;Misc.;1.12;No
RET;Translocation;LUAD;"RET
LUAD";2;Zhou, N Engl J Med 2023;NCT04194944;Selpercatinib;24.8;2%;Lung;0.47;No
RET;Translocation;Misc.;"RET
Misc.";1;Subbiah, Lancet Oncol 2024;NCT03157128;Selpercatinib ;13;1%;Misc.;0.66;No
RET;Translocation;Misc.;"RET
Misc.";1;Subbiah, Lancet Oncol 2024;NCT03157128;Selpercatinib ;9.4;1%;Misc.;0.66;No
RET;Translocation;THYR;"RET
THYR";2;Wirth, J Clin Oncol, 2024;NCT03157128;Selpercatinib;44.0;10%;Thyroid;0.94;No
ROS1;Translocation;LUAD;"ROS1
LUAD";3;Drilon, N Engl J Med 2024;NCT03093116;Repotrectinib;35.7;1.62%;Lung;0.01;No
ROS1;Translocation;Misc.;"ROS1
Misc. Pediatric";2;Desai, Neuro Oncol, 2022;NCT02650401;Entrectinib;10.0;1%;Misc.;11.90;No
